date,leads_actual,leads_forecast,Nameplate
2020-03-21,606.0,,Cat1
2020-03-22,510.0,,Cat1
2020-03-23,560.0,,Cat1
2020-03-24,556.0,,Cat1
2020-03-25,623.0,,Cat1
2020-03-26,705.0,,Cat1
2020-03-27,668.0,,Cat1
2020-03-28,758.0,,Cat1
2020-03-29,703.0,,Cat1
2020-03-30,754.0,,Cat1
2020-03-31,646.0,,Cat1
2020-01-04,685.0,,Cat1
2020-02-04,704.0,,Cat1
2020-03-04,680.0,,Cat1
2020-04-04,660.0,,Cat1
2020-05-04,605.0,,Cat1
2020-04-13,818.0,,Cat1
2020-04-14,833.0,,Cat1
2020-04-15,783.0,,Cat1
2020-04-16,813.0,,Cat1
2020-04-17,904.0,,Cat1
2020-04-18,934.0,,Cat1
